code,qr_url,status,batch_name,assigned_to
PF-000001,https://farecoh.org/t/14da99bc3706baf42baf98b96a0790db3e358a76662879398845caccffb509a5,available,LOTE GENERAL 001,
PF-000002,https://farecoh.org/t/58df62364220346d04533f66356900f4867491a2a4403aaad02ca360d4b89eb4,available,LOTE GENERAL 001,
PF-000003,https://farecoh.org/t/415d91891f65a227c2ed69060f16864d082e86ad3474bcace07ad5487e3bc24b,available,LOTE GENERAL 001,
PF-000004,https://farecoh.org/t/332139cd4a92b8ca468170223f9c40f02d089eed0071d0a2b7d2bf54e3c9b5ce,available,LOTE GENERAL 001,
PF-000005,https://farecoh.org/t/183bf2ed18a6a95b82b47f1e869ef23bfc398b8d9f15c90c306d5b2c4ccfe3c2,available,LOTE GENERAL 001,
PF-000006,https://farecoh.org/t/eefaf0c7a19887d0db81092ae55c0b0e0971e3c2f8ed937144712545a9034047,available,LOTE GENERAL 001,
PF-000007,https://farecoh.org/t/cf511e43f511f895a64a1dbf2c2d4b0102a2ef1c45065e2df32cb5ae18979572,available,LOTE GENERAL 001,
PF-000008,https://farecoh.org/t/097baf9196c8ed4e9aa27e0155b0dc01d665fa7aa12a3d4d39d57a8aef76aa7b,available,LOTE GENERAL 001,
PF-000009,https://farecoh.org/t/3ea52930eca7c4eb9bfa52634dea0325e6a6219622b174e0ace04a4ef998bc51,available,LOTE GENERAL 001,
PF-000010,https://farecoh.org/t/34adb1b147d88ede557a7ac18a1f63591dd91ff10fa3fdb1db731dd8719facca,available,LOTE GENERAL 001,
PF-000011,https://farecoh.org/t/f7452f80f953387fe2a5406b2020e87bfc499e0ce2940a4be914cb6937775fe8,available,LOTE GENERAL 001,
PF-000012,https://farecoh.org/t/48c774366e0f6be43b41b8dac88b1c530ebfc0b351a560630047d25025218db2,available,LOTE GENERAL 001,
PF-000013,https://farecoh.org/t/af1f0505598090d182de840bf6bcea7fdc57eddcc8685429b6898c76aa190cec,available,LOTE GENERAL 001,
